Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
18-21,Man,Bachelor's,Currently not employed,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,,Yes,,,,,,,,,,,,
18-21,Man,college study without degree,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
18-21,Man,Bachelor's,Student,,,,,5-10 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,,,,,,,Yes,,,,
40-44,Man,Doctoral,Software Engineer,Online Business/Internet-based Sales,0-49 employees,do not use,"125,000-149,999",5-10 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
40-44,Man,Bachelor's,Program/Project Manager,Broadcasting/Communications,"10,000 or more employees",exploring,"150,000-199,999",3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,,,,,,,
45-49,Man,Master's,Business Analyst,Shipping/Transportation,"1000-9,999 employees",exploring,"90,000-99,999",1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,Yes,Yes,,,,,,Yes,,,
35-39,Man,Master's,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"150,000-199,999",10-20 years,3-4 years,laptop,,Once,Local development environments,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes
18-21,Man,Bachelor's,Machine Learning Engineer,Medical/Pharmaceutical,"10,000 or more employees",recently started,"90,000-99,999",1-3 years,Under 1 year,cloud computing platform,,Once,Local development environments,Yes,,Yes,,Yes,,Yes,,Yes,,,,
55-59,Man,Doctoral,Data Scientist,Online Service/Internet-based Services,0-49 employees,exploring,"300,000-499,999",10-20 years,10-20 years,desktop,PostgreSQL ,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
22-24,Man,Master's,Data Scientist,Broadcasting/Communications,50-249 employees,for insights only,"7,500-9,999",I have never written code,,,,,,,,,,,,,,,,,,
45-49,Man,prefer not to answer,Other,Hospitality/Entertainment/Sports,"1000-9,999 employees",I do not know,"30,000-39,999",10-20 years,I do not use machine learning methods,laptop,,Never,Local development environments,,,Yes,,,,,,,,,,
45-49,Man,Doctoral,Data Scientist,Government/Public Service,0-49 employees,recently started,"150,000-199,999",20+ years,10-20 years,deep learning workstation,Amazon RDS ,Once,Local development environments,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes
35-39,Man,Master's,Other,Computers/Technology,"1000-9,999 employees",do not use,"125,000-149,999",1-3 years,1-2 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,
18-21,Man,college study without degree,Machine Learning Engineer,,,,,1-3 years,Under 1 year,laptop,,2-5 times,,Yes,,,,Yes,Yes,Yes,,,,,,Yes
25-29,Man,Master's,Data Analyst,Computers/Technology,0-49 employees,do not use,"50,000-59,999",3-5 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
25-29,Man,Doctoral,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees",well established,"20,000-24,999",1-3 years,3-4 years,cloud computing platform,,6-25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
25-29,Woman,Master's,Data Analyst,Non-profit/Service,"1000-9,999 employees",recently started,"70,000-79,999",1-3 years,Under 1 year,cloud computing platform,,2-5 times,Advanced statistical software,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,,Yes
50-54,Man,Master's,Research Scientist,Computers/Technology,0-49 employees,I do not know,"200,000-249,999",20+ years,10-20 years,laptop,Microsoft SQL Server ,Never,Local development environments,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,Yes,Yes
25-29,Woman,Master's,Program/Project Manager,Government/Public Service,"10,000 or more employees",do not use,"40,000-49,999",1-3 years,I do not use machine learning methods,laptop,,Never,Other,Yes,Yes,,,,,,,,,,,
30-34,Woman,Bachelor's,Currently not employed,,,,,3-5 years,Under 1 year,laptop,,Once,Basic statistical software,,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
40-44,Man,college study without degree,Program/Project Manager,Online Service/Internet-based Services,"10,000 or more employees",well established,"200,000-249,999",3-5 years,2-3 years,cloud computing platform,Google Cloud BigQuery ,More than 25 times,Cloud-based data software & APIs,Yes,,,,Yes,Yes,,,Yes,Yes,,,Yes
35-39,Woman,Master's,Business Analyst,Academics/Education,"10,000 or more employees",well established,"70,000-79,999",1-3 years,2-3 years,cloud computing platform,Snowflake ,6-25 times,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
30-34,Woman,Master's,Student,,,,,< 1 years,Under 1 year,cloud computing platform,,Never,Basic statistical software,Yes,,Yes,Yes,,,,,Yes,Yes,,,
25-29,Man,Master's,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"125,000-149,999",5-10 years,3-4 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
18-21,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
25-29,Woman,Bachelor's,Student,,,,,1-3 years,Under 1 year,desktop,,2-5 times,Cloud-based data software & APIs,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
30-34,Woman,Master's,Student,,,,,1-3 years,1-2 years,Other,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,
30-34,Woman,Doctoral,Data Scientist,Computers/Technology,250-999 employees,well established,"150,000-199,999",10-20 years,5-10 years,cloud computing platform,Snowflake ,Never,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Man,Bachelor's,Student,,,,,5-10 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,,,,,,,,,,
70+,Man,Bachelor's,Other,Other,0-49 employees,exploring,"70,000-79,999",20+ years,I do not use machine learning methods,desktop,,Once,Basic statistical software,Yes,,,,,,,,,,,,
18-21,Man,college study without degree,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,,Yes,,,Yes,,,,
35-39,Man,Doctoral,Research Scientist,Computers/Technology,"10,000 or more employees",recently started,"150,000-199,999",10-20 years,4-5 years,laptop,,More than 25 times,Local development environments,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes
18-21,Man,Bachelor's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,,,,Yes
40-44,Woman,Bachelor's,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",I do not know,"25,000-29,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
35-39,Man,Master's,Data Analyst,Medical/Pharmaceutical,"1000-9,999 employees",do not use,"80,000-89,999",5-10 years,1-2 years,desktop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes
50-54,Man,Master's,Program/Project Manager,Online Service/Internet-based Services,0-49 employees,well established,"250,000-299,999",20+ years,5-10 years,cloud computing platform,MySQL ,2-5 times,Cloud-based data software & APIs,,,Yes,,,,,,Yes,,,Yes,Yes
25-29,Man,Bachelor's,Student,,,,,5-10 years,Under 1 year,desktop,,Once,Local development environments,Yes,,,Yes,,,Yes,,,,,,Yes
40-44,Woman,Bachelor's,Student,,,,,< 1 years,Under 1 year,desktop,,Never,Local development environments,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Woman,Master's,Other,Retail/Sales,50-249 employees,do not use,"60,000-69,999",< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,10-20 years,3-4 years,Other,,Never,Local development environments,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
35-39,Man,Master's,Program/Project Manager,Accounting/Finance,"10,000 or more employees",recently started,"500,000-999,999",10-20 years,1-2 years,desktop,Microsoft SQL Server ,Never,Other,Yes,,,Yes,,,,,Yes,,,,
35-39,Man,Bachelor's,Business Analyst,Accounting/Finance,0-49 employees,recently started,"30,000-39,999",1-3 years,1-2 years,laptop,IBM Db2 ,6-25 times,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,
35-39,Woman,Doctoral,Data Scientist,Energy/Mining,"1000-9,999 employees",for insights only,"100,000-124,999",10-20 years,1-2 years,desktop,,Never,Local development environments,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes
25-29,Woman,Bachelor's,Software Engineer,Computers/Technology,"10,000 or more employees",well established,"150,000-199,999",3-5 years,Under 1 year,laptop,,Never,Other,Yes,,,Yes,,,,,Yes,Yes,Yes,,
35-39,Woman,Master's,Data Scientist,Insurance/Risk Assessment,"1000-9,999 employees",recently started,"80,000-89,999",1-3 years,2-3 years,laptop,,More than 25 times,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
40-44,Man,college study without degree,DBA/Database Engineer,Hospitality/Entertainment/Sports,0-49 employees,for insights only,0-999,3-5 years,3-4 years,laptop,Google Cloud BigQuery ,More than 25 times,Cloud-based data software & APIs,Yes,,Yes,,Yes,,,Yes,,,,,Yes
25-29,Man,Master's,Data Scientist,Academics/Education,0-49 employees,for insights only,,< 1 years,Under 1 year,laptop,,Never,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,,,
40-44,Man,Doctoral,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"200,000-249,999",20+ years,20 or more years,cloud computing platform,,Never,Cloud-based data software & APIs,Yes,Yes,,,,,,,,Yes,Yes,Yes,
30-34,Woman,Master's,Currently not employed,,,,,< 1 years,Under 1 year,desktop,,Never,,,Yes,Yes,,,,,,Yes,,,Yes,Yes
25-29,Man,Master's,Data Analyst,Accounting/Finance,"10,000 or more employees",for insights only,"100,000-124,999",3-5 years,3-4 years,laptop,,Never,Basic statistical software,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes
45-49,Prefer not to say,Master's,Software Engineer,Computers/Technology,250-999 employees,for insights only,"125,000-149,999",20+ years,20 or more years,deep learning workstation,Oracle Database ,6-25 times,Basic statistical software,Yes,,Yes,,Yes,Yes,,,,Yes,,Yes,Yes
35-39,Man,Bachelor's,Other,Accounting/Finance,"10,000 or more employees",I do not know,"70,000-79,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
60-69,Woman,Professional doctorate,Other,Academics/Education,"1000-9,999 employees",do not use,"70,000-79,999",< 1 years,Under 1 year,desktop,,Never,Advanced statistical software,,,Yes,Yes,,,,,,,,,
25-29,Man,high school,Data Scientist,Other,0-49 employees,well established,,3-5 years,3-4 years,deep learning workstation,,Never,,Yes,,,,Yes,,,,,,,,
35-39,Man,Doctoral,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",recently started,"125,000-149,999",10-20 years,10-20 years,deep learning workstation,,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
35-39,Man,Master's,Software Engineer,Computers/Technology,"10,000 or more employees",well established,"500,000-999,999",10-20 years,2-3 years,cloud computing platform,,Never,Cloud-based data software & APIs,Yes,,Yes,,,,Yes,,,Yes,,,
25-29,Woman,Master's,Software Engineer,Academics/Education,0-49 employees,I do not know,0-999,1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,Yes,Yes,,,
50-54,Man,Bachelor's,Other,Insurance/Risk Assessment,"10,000 or more employees",well established,"200,000-249,999",3-5 years,20 or more years,laptop,,Never,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
40-44,Man,Bachelor's,Other,,,,,1-3 years,,,,,,Yes,,,,,,,,,,,,
22-24,Man,Master's,Data Scientist,Computers/Technology,"1000-9,999 employees",for insights only,"5,000-7,499",1-3 years,4-5 years,laptop,,2-5 times,Business intelligence software,Yes,,,,,,,,Yes,,,,
25-29,Man,Master's,Data Analyst,Marketing/CRM,0-49 employees,for insights only,"40,000-49,999",1-3 years,1-2 years,desktop,,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
30-34,Man,Master's,Research Scientist,Academics/Education,"1000-9,999 employees",exploring,"80,000-89,999",1-3 years,2-3 years,laptop,,Never,Advanced statistical software,,Yes,,,,,Yes,,Yes,Yes,,,
30-34,Man,Master's,Other,Military/Security/Defense,"10,000 or more employees",exploring,"100,000-124,999",I have never written code,,,,,Cloud-based data software & APIs,,,,,,,,,,,,,
25-29,Man,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,Yes,,Yes,,,,,Yes,,,,
45-49,Man,Doctoral,Student,,,,,3-5 years,3-4 years,desktop,,Never,Other,Yes,,,,,,,,Yes,,,,
60-69,Man,Master's,Other,Academics/Education,"1000-9,999 employees",for insights only,"70,000-79,999",20+ years,Under 1 year,desktop,Microsoft SQL Server ,Never,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,
35-39,Man,Doctoral,Statistician,Academics/Education,"1000-9,999 employees",do not use,"80,000-89,999",5-10 years,5-10 years,desktop,,Never,Local development environments,,Yes,,,,,,,,,,Yes,
25-29,Woman,Master's,Software Engineer,Computers/Technology,"10,000 or more employees",recently started,"5,000-7,499",1-3 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
50-54,Man,Doctoral,Research Scientist,Military/Security/Defense,"1000-9,999 employees",for insights only,"150,000-199,999",10-20 years,Under 1 year,deep learning workstation,,Once,Local development environments,Yes,,Yes,Yes,,,,,Yes,,,,
25-29,Woman,Master's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,Yes,,,,,Yes,,,,
35-39,Man,Doctoral,Other,Academics/Education,"1000-9,999 employees",do not use,"70,000-79,999",1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
45-49,Man,college study without degree,Other,Shipping/Transportation,0-49 employees,do not use,"10,000-14,999",20+ years,2-3 years,laptop,MySQL ,Once,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
55-59,Man,college study without degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees,exploring,"125,000-149,999",20+ years,I do not use machine learning methods,desktop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
30-34,Man,prefer not to answer,Software Engineer,,,,,5-10 years,,,,,,,,,,,,,,,,,,
35-39,Woman,Master's,Currently not employed,,,,,5-10 years,2-3 years,laptop,,Never,,,,,,,,,,,,,,
25-29,Man,Bachelor's,Data Scientist,Military/Security/Defense,50-249 employees,recently started,"125,000-149,999",5-10 years,5-10 years,cloud computing platform,MongoDB ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,,Yes,,,,,,Yes
50-54,Man,Doctoral,Research Scientist,Academics/Education,"10,000 or more employees",well established,"80,000-89,999",20+ years,10-20 years,cloud computing platform,MySQL ,More than 25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes
45-49,Man,Master's,Software Engineer,Broadcasting/Communications,"10,000 or more employees",for insights only,"150,000-199,999",20+ years,2-3 years,laptop,PostgreSQL ,2-5 times,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes
45-49,Man,Master's,Program/Project Manager,Shipping/Transportation,0-49 employees,do not use,"90,000-99,999",1-3 years,Under 1 year,laptop,MySQL ,6-25 times,Basic statistical software,Yes,,,Yes,,,Yes,,,Yes,Yes,,
60-69,Man,Bachelor's,Other,Retail/Sales,"1000-9,999 employees",exploring,"20,000-24,999",20+ years,2-3 years,cloud computing platform,,More than 25 times,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,Yes
30-34,Man,Master's,Data Scientist,Accounting/Finance,250-999 employees,well established,"250,000-299,999",5-10 years,5-10 years,desktop,Oracle Database ,Never,Local development environments,Yes,Yes,,Yes,,,,Yes,,Yes,,,
35-39,Man,Master's,Data Analyst,Accounting/Finance,"1000-9,999 employees",exploring,"70,000-79,999",1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
25-29,Woman,Doctoral,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"125,000-149,999",5-10 years,4-5 years,laptop,,Never,,Yes,,Yes,Yes,,,,,Yes,,,Yes,
40-44,Man,Bachelor's,Other,Computers/Technology,"1000-9,999 employees",well established,"100,000-124,999",10-20 years,3-4 years,cloud computing platform,Snowflake ,Never,Business intelligence software,Yes,,Yes,,,,Yes,,Yes,Yes,,Yes,
45-49,Man,Master's,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",for insights only,"150,000-199,999",10-20 years,5-10 years,laptop,Amazon Redshift ,6-25 times,Basic statistical software,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
55-59,Man,Master's,Software Engineer,Hospitality/Entertainment/Sports,"10,000 or more employees",exploring,"125,000-149,999",20+ years,2-3 years,desktop,Microsoft SQL Server ,2-5 times,Other,,,,,Yes,,,,Yes,,Yes,Yes,
55-59,Man,Master's,Program/Project Manager,Accounting/Finance,50-249 employees,for insights only,"250,000-299,999",5-10 years,20 or more years,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,Yes,Yes,,,
30-34,Man,Bachelor's,Data Analyst,Academics/Education,0-49 employees,exploring,">1,000,000",5-10 years,3-4 years,cloud computing platform,,Never,,Yes,,,Yes,,,,,Yes,,,,
30-34,Prefer not to say,Master's,Other,,,,,< 1 years,Under 1 year,desktop,,Never,,,,,,,,,,,,,,
30-34,Woman,Bachelor's,Data Analyst,Government/Public Service,"1000-9,999 employees",I do not know,"40,000-49,999",1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
50-54,Man,Master's,Data Analyst,Marketing/CRM,"10,000 or more employees",well established,"30,000-39,999",I have never written code,,,,,Business intelligence software,,,,,,,,,,,,,
35-39,Man,Doctoral,Other,Academics/Education,"10,000 or more employees",I do not know,"80,000-89,999",10-20 years,5-10 years,deep learning workstation,,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
45-49,Man,Master's,Other,Accounting/Finance,"1000-9,999 employees",well established,"300,000-499,999",3-5 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,,,,,Yes,Yes,,,
45-49,Man,Master's,Data Analyst,Military/Security/Defense,250-999 employees,exploring,"100,000-124,999",20+ years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
30-34,Woman,Bachelor's,Currently not employed,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,,,,,,,,,,,,
40-44,Woman,Bachelor's,Other,Computers/Technology,0-49 employees,exploring,"100,000-124,999",20+ years,Under 1 year,laptop,Microsoft Azure Cosmos DB ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,
22-24,Man,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,,,,,
45-49,Man,Doctoral,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,2-5 times,Local development environments,Yes,Yes,,Yes,,,,,Yes,,,,
35-39,Man,Doctoral,Data Scientist,Medical/Pharmaceutical,50-249 employees,well established,"150,000-199,999",10-20 years,5-10 years,deep learning workstation,Microsoft SQL Server ,Once,Local development environments,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
